name,writer,translator,publisher,year_of_publication,format,number_of_pages,language,ISBN,category,price
 بچه گربه: کارگاه پرماجرا,دیو پیلکی,ابوذر مؤمنی زاده,انتشارات مهرسا,۱۴۰۰,PDF,177,فارسی,978-622-743735-5,کتاب‌های کمیک و رمان‌های مصور,15500 ت - 3.49 یورو
 داستان فوتبالیست‌ها: روایت مصور,دیوید اسکوایرز,شیرین سادات صفوی,نشر اطراف,۱۴۰۰,PDF,221,فارسی,978-622-99224-4-6,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 دوست ندارم بخوابم!,دیو پتی,احمد تصویری,انتشارات مهرسا,۱۴۰۰,PDF,33,فارسی,978-600-989096-5,کتاب‌های کمیک و رمان‌های مصور,17900 ت - 3.99 یورو
 تخم مرغ یا تخم چشم!: ماجراهای جوجه و نابغه,سی سی بل,ابوذر مؤمنی زاده,انتشارات مهرسا,۱۳۹۹,PDF,73,فارسی,978-622-743728-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 2.49 یورو
 انجمن ارواح غمگین: روح همزبانتان را پیدا کنید,لیز مدینگز,نفیسه خسروجردی,نشر میلکان,۱۴۰۱,PDF,257,فارسی,978-622-254-396-9,کتاب‌های کمیک و رمان‌های مصور,35000 ت - 4.49 یورو
 من بیلی جین کینگ هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۴۰۰,PDF,45,فارسی,978-622-274-252-2,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 داستان فوتبال: روایت مصور,دیوید اسکوایرز,معین فرخی,نشر اطراف,۱۴۰۱,PDF,200,فارسی,978-622-99224-5-3,کتاب‌های کمیک و رمان‌های مصور,39000 ت - 4.99 یورو
 پیتر و ارنستو 1: داستان دو تنبل,گراهام آنابل,آزاده ظاهرنیا,انتشارات پرتقال,۱۳۹۹,PDF,129,فارسی,978-622-274067-2,کتاب‌های کمیک و رمان‌های مصور,26000 ت - 5.49 یورو
 جناب نارنجی وارد می‌شود,علی اکبر زین العابدین,-,انتشارات پرتقال,۱۳۹۹,PDF,101,فارسی,978-600-462927-0,کتاب‌های کمیک و رمان‌های مصور,43600 ت - 7.99 یورو
 من رزا پارکس هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۴۰۰,PDF,45,فارسی,978-622-274-262-1,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 من لئوناردو داوینچی هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۴۰۱,PDF,45,فارسی,978-622-274-255-3,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 چه کسی از روباه بد گنده می‌ترسد؟,بنجامین رنر,پریسا هاشمی طاهری,انتشارات پرتقال,۱۳۹۹,PDF,197,فارسی,978-600-462900-3,کتاب‌های کمیک و رمان‌های مصور,47600 ت - 8.99 یورو
 املیا ارهارت: اسطوره هوانوردی,جیمسون اندرسون,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۹,PDF,33,فارسی,978-600-5550-83-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 نفرین مقبره پادشاه تات,مایکل برگن,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۹,PDF,33,فارسی,978-600-5550-85-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 من جین گودال هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۴۰۱,PDF,45,فارسی,978-622-274-406-9,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 ایلیا تولد یک قهرمان 7,امین توکلی,-,انتشارات کمیکا,۱۳۹۹,PDF,36,فارسی,978-622-96777-5-9,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 من گاندی هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۴۰۱,PDF,45,فارسی,978-622-274-248-5,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 ایلیا تولد یک قهرمان 8,امین توکلی,-,انتشارات کمیکا,۱۳۹۹,PDF,36,فارسی,978-622-96777-6-6,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 بابا همین جاست,مهشید راقمی,-,انتشارات پرتقال,۱۴۰۰,PDF,37,فارسی,978-622-274-238-6,کتاب‌های کمیک و رمان‌های مصور,24800 ت - 4.99 یورو
 اهرام اسرارآمیز مصر: کشف رموز اهرام با دکتر ایزابل سوتو,اگنیسکا بیسکاپ,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۹,PDF,33,فارسی,978-600-5550-84-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 دلهره‌ها: وقتی می‌ترسیدم مسخره‌ام کنند,رینا تلگمایر,بشرا مهرمحمدی,نشر اطراف,۱۳۹۹,PDF,225,فارسی,978-622-619439-6,کتاب‌های کمیک و رمان‌های مصور,43000 ت - 4.99 یورو
 قصه‌های من و بچه‌هام: عصرانه,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۷,PDF,25,فارسی,978-600-662875-2,کتاب‌های کمیک و رمان‌های مصور,15600 ت - 1.99 یورو
 ماجراهای شرلوک هولمز,سر آرتور کانن دویل,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-15-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 چگونه یک ابرتبهکار حرفه‌ای شویم؟,مایکل فرای,میلاد یساول,نشر روزگار,۱۳۹۸,PDF,324,فارسی,978-622-233-045-3,کتاب داستان و رمان نوجوان,40000 ت - 7.49 یورو
 ماجراهای مارکوپولو,راجر اسمالی,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-63-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 دور دنیا در هشتاد روز,ژول ورن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۱,PDF,60,فارسی,978-600-5550-05-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 قصه‌های من و بچه‌هام: تلفن,شهرام شفیعی,-,انتشارات سیمای شرق,۱۳۹۷,PDF,25,فارسی,978-622-6093-09-5,کتاب‌های کمیک و رمان‌های مصور,15600 ت - 1.99 یورو
 هلن کلر، حامی شجاع,اسکات آر. ولورت,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-64-1,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 محمدعلی کلی، قهرمان مشت زنی,مایکل برگن,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۷,PDF,34,فارسی,978-600-5550-72-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 جرج ایستمن و دوربین کداک,جنیفر فندل,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-67-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 کریستف کلمب، کاشف قاره آمریکا,مری دادسون وید,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-47-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 لویی پاستور و روش پاستوریزه,جنیفر فندل,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-32-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 یوهان گوتنبرگ و اختراع ماشین چاپ,کی ملکیسدک,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-44-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 دکتر جوناس سالک کاشف واکسن فلج اطفال,کاترین ای. کرون,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۱,PDF,34,فارسی,978-600-5550-25-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 هنری فورد و تولید انبوه اتومبیل,مایکل اهرن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-68-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ماموریت آپولو 13,دونالد بی. لمکه,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۷,PDF,33,فارسی,978-600-5550-69-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 نخستین انسان در ماه,توماس کی. آدامسن,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-62-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 متیو هنسون: ماجراجوی قطب شمال,بی. ای. هوئنا,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۷,PDF,33,فارسی,978-600-5550-71-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 انفجار فضاپیمای چلنجر,هدر آدامسن,کیوان محمدی,انتشارات عصر اندیشه,۱۳۹۸,PDF,34,فارسی,978-600-5550-73-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 مکس و نیمچه شوالیه‌ها,لینکلن پیرس,نیلوفر امن زاده,انتشارات پرتقال,۱۴۰۰,PDF,289,فارسی,978-600-462-799-3,کتاب داستان کودک,39600 ت - 7.49 یورو
 مارتین لوتر کینگ: رهبر بزرگ جنبش مدنی سیاهان,جنیفر فندل,فرشید مزینانی,انتشارات عصر اندیشه,۱۳۹۷,PDF,34,فارسی,978-600-5550-70-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 جزیره گنج,رابرت لویی استیونسن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-12-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ماجراهای هاکلبری فین,مارک تواین,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-07-8,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: ستاره‌ی اسرارآمیز,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-07-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: خرچنگ چنگال طلایی,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-06-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: معبد خورشید,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-08-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 فایلو فارنزورس و اختراع تلویزیون,الن اشتروم نیز,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-45-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: سفر به کره‌ی ماه,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-13-1,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: سفر به تبت,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-19-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 من هلن کلر هستم!,برد ملتزر,شبنم حیدری پور,انتشارات پرتقال,۱۳۹۹,PDF,45,فارسی,978-600-462-028-4,کتاب‌های کمیک و رمان‌های مصور,12800 ت - 2.99 یورو
 ماری کوری و رادیواکتیو,کانی کولویل میلر,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-46-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: کاشفان روی ماه,هرژه,محمد نیرومند,انتشارات دادجو,۱۳۹۹,PDF,65,فارسی,978-622-7118-10-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: سرزمین طلای سیاه,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-09-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ایلیا تولد یک قهرمان 1,امین توکلی,-,انتشارات کمیکا,۱۳۹۷,PDF,43,فارسی,978-622-95423-0-9,کتاب‌های کمیک و رمان‌های مصور,25000 ت - 2.99 یورو
 تن تن: پرواز شماره 714,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-22-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: در سرزمین پیکاروها,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-20-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 موبی دیک,هرمان ملویل,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-08-5,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
سیدنی و هیولای دریایی,دیوید الیوت,محمدصادق جابری فرد,,PDF,36,فارسی,,,,رایگان - 0 یورو
 یک روز آفتابی در تهران,کسری فروهی,-,انتشارات روزنه,۱۳۹۲,PDF,33,فارسی,978-964-334-475-7,کتاب‌های کمیک و رمان‌های مصور,7500 ت - 0.99 یورو
کمیک داستان دو شهر,چارلز دیکنز,محمدصادق جابری فرد,,PDF,49,فارسی,,,,2000 ت - 0.49 یورو
 آلیس در سرزمین عجایب,لوئیس کارول,سمیه نصرالهی,انتشارات مهرگان خرد,۱۳۹۴,PDF,69,فارسی,978-600-95496-2-7,کتاب‌های کمیک و رمان‌های مصور,20000 ت - 2.49 یورو
کمیک هزار و یک شب: علی بابا و چهل دزد,ویکتور نیکول,پویا گودرزی,,PDF,26,فارسی,,,,5000 ت - 0.99 یورو
 زندگینامه تصویری آلبرت اینشتین,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۷,PDF,29,فارسی,,,3900 ت - 0.49 یورو
 زندگینامه تصویری توماس ادیسون,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۷,PDF,32,فارسی,,,3900 ت - 0.49 یورو
کمیک ماجراهای شرلوک هولمز - مرگ قرمز,سر آرتور کانن دویل,محمدصادق جابری فرد,,PDF,50,فارسی,,,,رایگان - 0 یورو
 پایم را بو کن!: ماجراهای جوجه و نابغه,سی سی بل,ابوذر مومنی زاده,انتشارات مهرسا,۱۴۰۰,PDF,73,فارسی,978-622-743727-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 2.49 یورو
کمیک پینوکیو,کارلو کلودی,محمدصادق جابری فرد,,PDF,45,فارسی,,,,رایگان - 0 یورو
 زندگینامه تصویری والت دیزنی,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۷,PDF,32,فارسی,,,3900 ت - 0.49 یورو
 رابینسون کروزوئه,دانیل دفو,سمیه نصرالهی,انتشارات مهرگان خرد,۱۳۹۴,PDF,69,فارسی,978-600-95496-5-8,کتاب‌های کمیک و رمان‌های مصور,20000 ت - 2.49 یورو
کمیک جاسوس کوکولات,فرید یاسمین,-,,PDF,28,فارسی,,,,2500 ت - 0.49 یورو
کمیک الیور تویست,چارلز دیکنز,محمدصادق جابری فرد,,PDF,49,فارسی,,,,رایگان - 0 یورو
 زندگینامه تصویری الکساندر گراهام بل,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۸,PDF,32,فارسی,,,3900 ت - 0.49 یورو
کمیک ماجراهای تام سایر,مارک تواین,محمدصادق جابری فرد,,PDF,44,فارسی,,,,رایگان - 0 یورو
کمیک گوژپشت نتردام,ویکتور هوگو,محمدصادق جابری فرد,,PDF,47,فارسی,,,,رایگان - 0 یورو
کمیک سه تفنگدار,الکساندر دوما,محمدصادق جابری فرد,,PDF,47,فارسی,,,,رایگان - 0 یورو
 تن تن: ماجرای تورنسل,هرژه,محمد نیرومند, دانی,۱۳۹۹,PDF,65,فارسی,978-622-7118-17-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
معمای سکانس آخر,فرید یاسمین,-,,PDF,32,فارسی,,,,2500 ت - 0.49 یورو
کمیک کارآگاه پوآرو: قتل در زمین گلف,آگاتا کریستی,محمدصادق جابری فرد,,PDF,48,فارسی,,,,رایگان - 0 یورو
کمیک دلاوران میز گرد,پل اس. نیومن,محمدصادق جابری فرد,,PDF,35,فارسی,,,,رایگان - 0 یورو
کمیک سفر به مرکز زمین,ژول ورن,محمدصادق جابری فرد,,PDF,48,فارسی,,,,رایگان - 0 یورو
کمیک هزار و یک شب: پسرک دانشمند,ویکتور نیکول,پویا گودرزی,,PDF,27,فارسی,,,,5000 ت - 0.99 یورو
 زندگینامه تصویری ماری کوری,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۸,PDF,32,فارسی,,,3900 ت - 0.49 یورو
کمیک هزار و یک شب: توافقی میان غول‌ها,ویکتور نیکول,پویا گودرزی,,PDF,26,فارسی,,,,5000 ت - 0.99 یورو
کمیک هزار و یک شب: چیزی که تو داری ماله منه!,ویکتور نیکول,پویا گودرزی,,PDF,26,فارسی,,,,5000 ت - 0.99 یورو
 کودکان هوشمند و ثروتمند: راهنمایی‌های پدر پولدار برای داشتن کودک پولدار,رابرت کیوساکی,آرزو خسروپور,انتشارات طاهریان,۱۳۹۶,PDF,74,فارسی,978-600-6235-837,کتاب‌های کمیک و رمان‌های مصور,۴۰۰۰۰
کمیک شیرهای بغداد - قسمت دوم,برایان کی وان,فربد آذسن,,PDF,67,فارسی,,,,رایگان - 0 یورو
کمیک فدری داک,ماسیمیلیانو والنتینی,محمدصادق جابری فرد,,PDF,31,فارسی,,,,رایگان - 0 یورو
کمیک ماجراهای شرلوک هولمز 2,سر آرتور کانن دویل,محمدصادق جابری فرد,,PDF,34,فارسی,,,,رایگان - 0 یورو
کمیک علاءالدین و چراغ جادویش,چیکوی دلا فونته,محمدصادق جابری فرد,,PDF,44,فارسی,,,,رایگان - 0 یورو
کمیک ماجراهای شرلوک هولمز 1,سر آرتور کانن دویل,محمدصادق جابری فرد,,PDF,35,فارسی,,,,رایگان - 0 یورو
 تن تن: جواهرات کاستافیوره,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۹,PDF,65,فارسی,978-622-7118-12-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: گوش شکسته,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-35-5,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: گنج راکهام سرخ پوش,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-31-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
کمیک رابین هود,محمدصادق جابری فرد,-,,PDF,46,فارسی,,,,رایگان - 0 یورو
 تن تن: راز تک شاخ,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-32-4,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: جزیره سیاه,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-34-8,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: سیگارهای فرعون,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-37-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: در آمریکا,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-38-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: گل آبی,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-36-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 زندگینامه تصویری خلبان چارلز لیندبرگ,مجید عاطفی,-, دانش نگاران برنا,۱۳۹۸,PDF,33,فارسی,,,3900 ت - 0.49 یورو
 استیو جابز، استیو وزنیاک و رایانه شخصی,دونالد بی. لمکه,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-65-8,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 الکساندر گراهام بل و اختراع تلفن,جنیفر فندل,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-26-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 ایزاک نیوتن و قوانین حرکت,آندرا جیانوپولوس,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-31-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
کمیک شیرهای بغداد - قسمت اول,برایان کی وان,فربد آذسن,,PDF,57,فارسی,,,,رایگان - 0 یورو
 تن تن: در کنگو,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-39-3,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 بیست هزار فرسنگ زیر دریا,ژول ورن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۱,PDF,60,فارسی,978-600-5550-04-7,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 برادران رایت و اختراع هواپیما,خاویر نیز,فرشاد مزینانی,انتشارات عصر اندیشه,۱۳۹۶,PDF,34,فارسی,978-600-5550-66-5,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 آلبرت انیشتین و نظریه نسبیت,کیوان محمدی,-,انتشارات عصر اندیشه,۱۳۹۸,PDF,35,فارسی,978-600-5550-77-1,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 آوای وحش,جک لندن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۱,PDF,60,فارسی,978-600-5550-14-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تیرانداز ماهر (شورش مسلحانه),کالین هاروی,امیرمهدی صمدی, موسسه فرهنگی آرمان رشد,۱۳۹۸,PDF,16,فارسی,978-600-9870-97-4,کتاب‌های کمیک و رمان‌های مصور,8000 ت - 0.99 یورو
 تام سایر,مارک تواین,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-11-5,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 قصر فرانتس کافکا,دیوید زین مایروویتز,شهناز ایلدرمی,انتشارات سپاس,۱۳۹۷,PDF,149,فارسی,978-600-6767-66-6,کتاب‌های کمیک و رمان‌های مصور,24500 ت - 4.99 یورو
 شاهزاده و گدا,مارک تواین,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-13-9,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 جزیره اسرارآمیز,ژول ورن,محمد همت خواه,انتشارات عصر اندیشه,۱۳۹۵,PDF,60,فارسی,978-600-5550-09-2,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 تن تن: هفت گوی بلورین,هرژه,محمد نیرومند,انتشارات اعجاز علم,۱۳۹۷,PDF,65,فارسی,978-600-7839-30-0,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
 توماس ادیسون و لامپ روشنایی,اسکات آر. ولورت,کتایون محمدی,انتشارات عصر اندیشه,۱۳۹۵,PDF,34,فارسی,978-600-5550-30-6,کتاب‌های کمیک و رمان‌های مصور,10000 ت - 1.49 یورو
